# You can radio staions .pls/.m3u here
#Station name		#URL
# Lofi Stations
Podio - Science		https://drive.uber.radio/uber/podioscienceandtechnology/icecast.audio
Fox News		https://live.wostreaming.net/direct/foxnewsradio-foxnewsradioaac-imc?source=fnr.web
Viva o Samba		https://servidor33-3.brlogic.com:8020/live?source=website
BBC		http://stream.live.vc.bbcmedia.co.uk/bbc_world_service
Paradise		http://stream-uk1.radioparadise.com/aac-320
So Flashback		https://servidor40-5.brlogic.com:8122/live
Your Classical		https://ycradio.stream.publicradio.org/ycradio.aac
Mozart		https://stream.klassikradio.de/mozart/mp3-128/radiode/
Barch		https://stream.klassikradio.de/purebach/mp3-128/radiode/
Pet Shop Boys		https://streaming.exclusive.radio/er/petshopboys/icecast.audio
Frederic Chopin		http://air-tunein.radioart.com/fChopin.mp3
Eduard Grieg		https://stream.epic-piano.com/grieg
Memories		https://www.radios.com.br/play/playlist/40735/listen-radio.m3u
Flashback		https://cc6.streammaximum.com/proxy/radioflashbackfm//stream
I love 80s		http://live1.livemus.com.br:27400/live
Anos 80		http://104.247.221.130:9020/stream1
Nova Brasil		https://19303.live.streamtheworld.com/NOVABRASIL_SPAAC_SC
UNESP-FM		https://audio.tv.unesp.br/unespfm
FURGFM		https://stream.furg.br/audio/FURGFM
Cultura FM		https://radiocultura.jmvstream.com/stream
Marillion		https://alwaysmusic.stream.laut.fm/alwaysmusic
Gold Radio		https://centova.svdns.com.br:19373/stream
Gold Web Radio		https://centova.svdns.com.br:19418/stream
